,návaznost,linka,spoj,dopravce,tč,příjezd,čeká,odjezd,zastávka,vyčká (min),typ,linka ,spoj ,dopravce ,z/doZast,nav.čas,časDoSetkání (min),typ výstupu
16,navazuje,610115,8,"512/1 KAD,spol. s r.o. Krkonošská automobilová doprava Vrchlabí, Vápenická 475, VRCHLABÍ",1,7:42,,7:42,"Třebechovice p.Oreb.,škola",,A,610115,1,"512/1 KAD,spol. s r.o. Krkonošská automobilová doprava Vrchlabí, Vápenická 475, VRCHLABÍ",Hradec Králové (přímý vůz),,3,Tisk na JŘ+převod do strojků USVC
29,navazuje,610140,24,"501/70 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Nové Město nad Metují",13,19:21,,19:21,"Jaroměř,žel.st.",,A,640437,31,"501/70 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Nové Město nad Metují",Velichovky,,9,Tisk na JŘ
40,navazuje,610180,8,"501/10 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Hradec Králové",8,15:47,,15:47,"Jaroměř,žel.st.",,A,640017,1,"501/10 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Hradec Králové","Rychnovek,Zvole,Na Váze (přímý vůz)",,3,Tisk na JŘ+převod do strojků USVC
48,navazuje,610180,100,"501/10 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Hradec Králové",8,9:37,,9:37,"Jaroměř,žel.st.",,A,640437,101,"501/10 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Hradec Králové",Velichovky (přímý vůz),,9,Tisk na JŘ+převod do strojků USVC
49,navazuje,610180,102,"501/10 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Hradec Králové",8,13:37,,13:37,"Jaroměř,žel.st.",,A,640437,103,"501/10 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Hradec Králové",Velichovky (přímý vůz),,9,Tisk na JŘ+převod do strojků USVC
50,navazuje,610180,104,"501/10 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Hradec Králové",8,17:37,,17:37,"Jaroměř,žel.st.",,A,640437,105,"501/10 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Hradec Králové",Velichovky (přímý vůz),,9,Tisk na JŘ+převod do strojků USVC
72,navazuje,610210,2,"501/70 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Nové Město nad Metují",1,4:38,,4:38,"Hořiněves,hospoda u Šáfrů",,A,610010,2,"501/70 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Nové Město nad Metují","Hradec Králové,,Terminál HD (přímý vůz)",4:39,2,Tisk na JŘ+převod do strojků USVC
76,navazuje,610210,100,"501/70 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Nové Město nad Metují",1,7:24,,7:24,"Hořiněves,hospoda u Šáfrů",,A,610020,100,"501/70 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Nové Město nad Metují","Hradec Králové,,Terminál HD (přímý vůz)",7:27,3,Tisk na JŘ+převod do strojků USVC
77,navazuje,610210,112,"501/10 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Hradec Králové",1,11:24,,11:24,"Hořiněves,hospoda u Šáfrů",,A,610020,102,"501/10 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Hradec Králové","Hradec Králové,,Terminál HD (přímý vůz)",11:27,3,Tisk na JŘ+převod do strojků USVC
78,navazuje,610210,114,"501/10 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Hradec Králové",1,15:24,,15:24,"Hořiněves,hospoda u Šáfrů",,A,610020,104,"501/10 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Hradec Králové","Hradec Králové,,Terminál HD (přímý vůz)",15:27,3,Tisk na JŘ+převod do strojků USVC
81,navazuje,640023,101,"501/70 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Nové Město nad Metují",21,22:47,,22:47,"Nové Město n.Met.,Na Rychtě",,A,640025,123,"501/70 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Nové Město nad Metují",Dobruška,,1,Tisk na JŘ+převod do strojků USVC
87,navazuje,640025,18,"501/70 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Nové Město nad Metují",6,14:33,,14:33,"Nové Město n.Met.,Náchodská",,A,640026,13,"501/70 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Nové Město nad Metují","Deštné v Orl.h.,Zákoutí hot.Orlice",,0,Tisk na JŘ+převod do strojků USVC
89,navazuje,640025,102,"501/70 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Nové Město nad Metují",3,5:10,,5:10,"Nové Město n.Met.,Na Rychtě",,A,640023,102,"501/70 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Nové Město nad Metují",Náchod,,2,Tisk na JŘ+převod do strojků USVC
159,navazuje,640027,2,"501/70 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Nové Město nad Metují",2,5:25,,5:25,"Nové Město n.Met.,žel.st.",,A,660046,3,"501/70 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Nové Město nad Metují",Náchod (přímý vůz),,0,Tisk na JŘ+převod do strojků USVC
