WKT,OBJECTID,CRZ,OZNACNIK1,OZNACNIK2,CRZ_OZNACN,"TARIF_NAZE,C,250"
POINT (15.8982078838762 50.5702461837241),3995,55132,2,2,5513202,"Trutnov,Horská,závod"
POINT (15.8711384728486 50.5987684265252),3996,36565,1,1,3656501,"Trutnov,Kalná Voda,STK"
POINT (15.8735277161262 50.5979001470404),3997,36565,2,2,3656502,"Trutnov,Kalná Voda,STK"
POINT (15.8721044068984 50.599749205186),3998,36566,2,2,3656602,"Trutnov,Kalná Voda,žel.st."
POINT (15.8716667074875 50.6000525048179),3999,36566,1,1,3656601,"Trutnov,Kalná Voda,žel.st."
POINT (15.9433080627556 50.5961211923789),4000,36567,1,1,3656701,"Trutnov,Libeč"
POINT (15.9437052741368 50.5961886567213),4001,36567,2,2,3656702,"Trutnov,Libeč"
POINT (15.9652148763752 50.5797629145503),4002,36568,1,1,3656801,"Trutnov,Libeč,Debrné odb."
POINT (15.9652915013426 50.5797687039695),4003,36568,2,2,3656802,"Trutnov,Libeč,Debrné odb."
POINT (15.9455317819294 50.58975096454),4004,36569,1,1,3656901,"Trutnov,Libeč,dol.zast."
POINT (15.9457272226623 50.5895654117817),4005,36569,2,2,3656902,"Trutnov,Libeč,dol.zast."
POINT (15.9455925093063 50.5980590440131),4006,54621,1,1,5462101,"Trutnov,Libeč,otáčka"
POINT (15.9181929826597 50.5263360171308),4007,36570,1,1,3657001,"Trutnov,Nový Rokytník"
POINT (15.9182728355579 50.5265910693116),4008,36570,2,2,3657002,"Trutnov,Nový Rokytník"
POINT (15.9678456076527 50.5580247047962),4009,36571,2,2,3657102,"Trutnov,Poříčí,ACHP"
POINT (15.9679303064514 50.5576778053787),4010,36571,1,1,3657101,"Trutnov,Poříčí,ACHP"
POINT (15.938430606972 50.5696400050214),4011,36577,1,1,3657701,"Trutnov,Poříčí,Ekvita"
POINT (15.9361256077413 50.5693067050936),4012,36577,2,2,3657702,"Trutnov,Poříčí,Ekvita"
POINT (15.9627258065339 50.5775042050916),4013,36572,1,1,3657201,"Trutnov,Poříčí,Elektrokov"
POINT (15.9621868314129 50.5773539597838),4014,36572,2,2,3657202,"Trutnov,Poříčí,Elektrokov"
POINT (15.9433622064526 50.5774997051268),4015,36573,1,1,3657301,"Trutnov,Poříčí,nádr.střed"
POINT (15.9425931068115 50.5772631049608),4016,36573,2,2,3657302,"Trutnov,Poříčí,nádr.střed"
POINT (15.949378906833 50.5732856050762),4017,36574,1,1,3657401,"Trutnov,Poříčí,nám."
POINT (15.9490903063642 50.5732397051455),4018,36574,2,2,3657402,"Trutnov,Poříčí,nám."
POINT (15.966173607285 50.5658428048876),4019,36575,2,2,3657502,"Trutnov,Poříčí,Porfix"
POINT (15.965997506569 50.5653517050136),4020,36575,1,1,3657501,"Trutnov,Poříčí,Porfix"
POINT (15.9591575065496 50.5751436053621),4021,36576,2,2,3657602,"Trutnov,Poříčí,rozc.EPO"
POINT (15.9588783077009 50.5750392050504),4022,36576,1,1,3657601,"Trutnov,Poříčí,rozc.EPO"
POINT (15.9547556065863 50.57509220506),4023,53556,1,1,5355601,"Trutnov,Poříčí,škola"
POINT (15.9541917070551 50.5751497049675),4024,53556,2,2,5355602,"Trutnov,Poříčí,škola"
POINT (15.9453656772873 50.5786139076496),4025,57509,1,1,5750901,"Trutnov,Poříčí,Voletinská přejezd"
POINT (15.9464206953583 50.5778744538258),4026,57509,2,2,5750902,"Trutnov,Poříčí,Voletinská přejezd"
POINT (15.9424775068175 50.5712925054165),4027,36578,1,1,3657801,"Trutnov,Poříčí,záv."
POINT (15.9420503068923 50.5712903051212),4028,36578,2,2,3657802,"Trutnov,Poříčí,záv."
POINT (15.9369958076696 50.5416200050404),4029,36579,2,2,3657902,"Trutnov,Starý Rokytník,ČSSS"
POINT (15.9369692074137 50.5415247054902),4030,36579,1,1,3657901,"Trutnov,Starý Rokytník,ČSSS"
POINT (15.920633107467 50.5505631049397),4031,36580,2,2,3658001,"Trutnov,Starý Rokytník,háj."
POINT (15.9212675070735 50.5503489050404),4032,36580,1,1,3658002,"Trutnov,Starý Rokytník,háj."
POINT (15.9619256065793 50.5281425046344),4033,36581,2,2,3658102,"Trutnov,Starý Rokytník,hospoda"
POINT (15.9618386075679 50.5280297050076),4034,36581,1,1,3658101,"Trutnov,Starý Rokytník,hospoda"
POINT (15.944036106718 50.5378983049734),4035,63023,1,1,6302301,"Trutnov,Starý Rokytník,střed"
POINT (15.9440950071177 50.5379328054596),4036,63023,2,2,6302302,"Trutnov,Starý Rokytník,střed"
POINT (15.9489319064346 50.5340633054277),4037,36582,1,1,3658201,"Trutnov,Starý Rokytník,školka"
POINT (15.9480072076267 50.534754405093),4038,36582,2,2,3658202,"Trutnov,Starý Rokytník,školka"
POINT (15.9107134520619 50.5112690110461),4039,36583,1,1,3658301,"Trutnov,Střítěž"
POINT (15.911038492294 50.5113019252682),4040,36583,2,2,3658302,"Trutnov,Střítěž"
POINT (15.9162298133578 50.520116099999),4041,36584,1,1,3658401,"Trutnov,Střítěž,rozc."
POINT (15.9162216841109 50.5202150747682),4042,36584,2,2,3658402,"Trutnov,Střítěž,rozc."
