kód,název,typ objektu,poč. vyhl.,poč. souč.,okres,dat. vyhl.,dat. zruš.,orgány ochrany přírody
104961,Markvartické lípy,Skupina stromů,2,2,Jičín,05.08.1996,,MÚ Sobotka
104962,Dub letní,Jednotlivý strom,1,1,Hradec Králové,17.12.1994,,Magistrát města Hradec Králové
104963,Lípa u č.p. 01 v Bernarticích,Jednotlivý strom,1,1,Trutnov,08.09.1983,,MÚ Žacléř
104966,"Lípa u památníku ""Obětem""",Jednotlivý strom,1,1,Rychnov nad Kněžnou,14.06.2000,,MÚ Kostelec nad Orlicí
104967,4 lípy na Palackého náměstí,Skupina stromů,4,4,Rychnov nad Kněžnou,14.06.2000,,MÚ Kostelec nad Orlicí
104968,Platan u pošty,Jednotlivý strom,1,1,Rychnov nad Kněžnou,14.06.2000,,MÚ Kostelec nad Orlicí
104969,Lípa v Stradinské ulici,Jednotlivý strom,1,1,Rychnov nad Kněžnou,14.06.2000,,MÚ Kostelec nad Orlicí
104971,Lípa srdčitá u Bartošů,Jednotlivý strom,1,1,Rychnov nad Kněžnou,22.10.1998,,MÚ Vamberk
104973,Lípa srdčitá (Hnátnická),Jednotlivý strom,1,1,Rychnov nad Kněžnou,23.02.1999,,MÚ Vamberk
104974,Lípy srdčité na Podřezově,Skupina stromů,2,2,Rychnov nad Kněžnou,19.05.1999,,MÚ Vamberk
104976,Javor babyka,Jednotlivý strom,1,1,Rychnov nad Kněžnou,01.12.1997,,MÚ Rychnov nad Kněžnou
104977,Dub letní,Jednotlivý strom,1,1,Rychnov nad Kněžnou,10.02.2004,,MÚ Dobruška
104978,Dub letní,Jednotlivý strom,1,1,Rychnov nad Kněžnou,12.02.2004,,MÚ Dobruška
104979,Hlošina úzkolistá,Jednotlivý strom,1,1,Rychnov nad Kněžnou,13.02.2004,,MÚ Dobruška
104980,Hrušeň polnička,Jednotlivý strom,1,1,Rychnov nad Kněžnou,18.02.2004,,MÚ Dobruška
104981,Lípa malolistá /Tilia cordata Mill./,Jednotlivý strom,1,1,Rychnov nad Kněžnou,24.06.1998,,MÚ Rychnov nad Kněžnou
104982,Dub letní,Jednotlivý strom,1,1,Rychnov nad Kněžnou,15.03.2005,,MÚ Vamberk
104983,Lípa srdčitá choceňskova,Jednotlivý strom,1,1,Rychnov nad Kněžnou,10.03.2005,,MÚ Vamberk
104984,Buk převislý,Jednotlivý strom,1,1,Náchod,05.05.2005,,MÚ Jaroměř
104989,Tis červený,Jednotlivý strom,1,1,Rychnov nad Kněžnou,03.10.1992,,MÚ Rychnov nad Kněžnou
104990,Lípa velkolistá (Tilia Platy Phyllos Scop),Jednotlivý strom,1,1,Rychnov nad Kněžnou,04.12.2001,,MÚ Dobruška
104991,2 lípy malolisté u sousoší sv. Anny ve Vamberku,Skupina stromů,2,2,Rychnov nad Kněžnou,27.06.2000,,MÚ Vamberk
104992,Stromořadí kolem starého hřbitova ve Vamberku,Stromořadí,17,16,Rychnov nad Kněžnou,27.06.2000,,MÚ Vamberk
104993,"3 lípy malolisté ""nad milenkou""",Skupina stromů,3,3,Rychnov nad Kněžnou,22.06.2000,,MÚ Vamberk
104994,Červený buk u křižovatky,Jednotlivý strom,1,1,Rychnov nad Kněžnou,28.10.2000,,MÚ Kostelec nad Orlicí
104995,Buk za dráhou,Jednotlivý strom,1,1,Rychnov nad Kněžnou,12.12.2000,,MÚ Kostelec nad Orlicí
104996,Lípa srdčitá,Jednotlivý strom,1,1,Rychnov nad Kněžnou,01.11.2002,,MÚ Rychnov nad Kněžnou
104997,Jilm vaz,Jednotlivý strom,1,1,Rychnov nad Kněžnou,22.10.1999,,MÚ Rychnov nad Kněžnou
104998,Lípa malolistá na pozemku pod školou,Jednotlivý strom,1,1,Rychnov nad Kněžnou,25.05.1999,,MÚ Vamberk
104999,Buk lesní,Jednotlivý strom,1,1,Rychnov nad Kněžnou,24.09.1999,,MÚ Vamberk
105015,Bělohradský buk,Jednotlivý strom,1,1,Jičín,20.11.2002,,MÚ Lázně Bělohrad
105016,Jivanská lípa,Jednotlivý strom,1,1,Jičín,01.11.1999,,MÚ Jičín
105017,Jilm horský,Jednotlivý strom,1,1,Trutnov,25.06.2001,,MÚ Vrchlabí
105041,3 hrušky plané,Skupina stromů,3,1,Rychnov nad Kněžnou,04.12.1980,,MÚ Dobruška
105042,Duřtův Dub,Jednotlivý strom,1,1,Jičín,21.05.2007,,MÚ Kopidlno
105043,Platanové stromořadí Platanka,Stromořadí,20,16,Rychnov nad Kněžnou,02.02.1993,,MÚ Kostelec nad Orlicí
105067,Sedlišťský dub,Jednotlivý strom,1,1,Jičín,31.03.2005,,MÚ Kopidlno
105068,Kozodírský Dub,Jednotlivý strom,1,1,Jičín,08.03.2004,,MÚ Kopidlno
105086,Polomská ptačka,Jednotlivý strom,1,1,Rychnov nad Kněžnou,08.02.2008,,MÚ Dobruška
105101,Kupkova turecká líska,Jednotlivý strom,1,1,Rychnov nad Kněžnou,23.01.2008,,MÚ Dobruška
105111,Jasan na Polomu,Jednotlivý strom,1,1,Rychnov nad Kněžnou,01.10.2007,,AOPK ČR - RP Východní Čechy
105112,Lípa v Koutu,Jednotlivý strom,1,1,Rychnov nad Kněžnou,27.09.2007,,AOPK ČR - RP Východní Čechy
105128,Farská lípa,Jednotlivý strom,1,1,Rychnov nad Kněžnou,12.12.2007,,MÚ Opočno
105142,"Hrušeň planá, polnička",Jednotlivý strom,1,1,Rychnov nad Kněžnou,26.03.2008,,MÚ Rychnov nad Kněžnou
105192,Vamberecký platan,Jednotlivý strom,1,1,Rychnov nad Kněžnou,29.05.2008,,MÚ Vamberk
105234,Lípa velkolistá,Jednotlivý strom,1,1,Trutnov,17.09.2008,,MÚ Trutnov
105263,Pohořský dub,Jednotlivý strom,1,1,Rychnov nad Kněžnou,29.01.2008,,MÚ Dobruška
105265,Merklův dub,Jednotlivý strom,1,1,Hradec Králové,16.08.1995,,MÚ Smiřice
105293,Žižkův dub,Jednotlivý strom,1,1,Hradec Králové,21.10.2008,,MÚ Třebechovice pod Orebem
105294,Skupina dřevin památných stromů,Skupina stromů,4,4,Hradec Králové,14.11.2008,,MÚ Chlumec nad Cidlinou
105324,Jasan ztepilý,Jednotlivý strom,1,1,Hradec Králové,04.11.2008,,Magistrát města Hradec Králové
105329,Masarykova lípa,Jednotlivý strom,1,1,Náchod,09.01.2009,,MÚ Nové Město nad Metují
105362,Lípa u fary,Jednotlivý strom,1,1,Trutnov,01.12.1993,,MÚ Žacléř
105363,Jírovec u Kostela,Jednotlivý strom,1,1,Trutnov,01.12.1993,,MÚ Žacléř
105384,Dubová alej u Zámečku na Podhůří,Stromořadí,83,83,Trutnov,05.03.2009,,MÚ Vrchlabí
105416,Dub v Prosečném,Jednotlivý strom,1,1,Trutnov,20.06.2009,,MÚ Hostinné
105417,Dub letní,Jednotlivý strom,1,1,Hradec Králové,10.10.2002,,Magistrát města Hradec Králové
105454,Lípa svobody 1919,Jednotlivý strom,1,1,Náchod,18.06.2008,,MÚ Náchod
105461,Lípy ve Hřibinách,Skupina stromů,2,2,Rychnov nad Kněžnou,06.04.2009,,MÚ Kostelec nad Orlicí
105501,Čtyři kusy lip Tilia cordata,Skupina stromů,4,4,Náchod,01.01.2010,,MÚ Jaroměř
105502,Javor babyka,Jednotlivý strom,1,1,Hradec Králové,26.10.2009,,Magistrát města Hradec Králové
105546,Královédvorské lípy,Skupina stromů,2,2,Trutnov,13.11.2009,,MÚ Dvůr Králové nad Labem
105552,Stříbrná lípa v Osenicích,Jednotlivý strom,1,1,Jičín,10.12.2007,,MÚ Kopidlno
105553,Libáňská lípa,Jednotlivý strom,1,1,Jičín,15.09.2008,,MÚ Kopidlno
105554,Památný dub,Jednotlivý strom,1,1,Trutnov,29.03.2010,,MÚ Dvůr Králové nad Labem
105558,Památná třešeň,Jednotlivý strom,1,1,Trutnov,29.03.2010,,MÚ Dvůr Králové nad Labem
105600,Suchý dub,Jednotlivý strom,1,1,Trutnov,19.01.2010,,MÚ Dvůr Králové nad Labem
105601,Památná lípa,Jednotlivý strom,1,1,Trutnov,06.01.2010,,MÚ Dvůr Králové nad Labem
105616,Ohavečská lípa,Jednotlivý strom,1,1,Jičín,21.05.2008,,MÚ Jičín
105678,Smrk pod Hrnčířskými Boudami,Jednotlivý strom,1,1,Trutnov,04.11.2010,,Správa KRNAP
105679,Dub pod Jankovým kopcem,Jednotlivý strom,1,1,Trutnov,04.11.2010,,Správa KRNAP
105700,Dub v Kunčicích nad Labem,Jednotlivý strom,1,1,Trutnov,15.01.2011,,MÚ Vrchlabí
105702,Památné duby,Skupina stromů,2,2,Trutnov,17.12.2010,,MÚ Dvůr Králové nad Labem
105703,Dub u Drahyně,Jednotlivý strom,1,1,Trutnov,01.01.2011,,MÚ Dvůr Králové nad Labem
105706,Michlova jabloň,Jednotlivý strom,1,1,Rychnov nad Kněžnou,01.02.2011,,MÚ Dobruška
105740,Lípa velkolistá,Jednotlivý strom,1,1,Hradec Králové,17.05.2011,,MÚ Smiřice
