OBOR,OBOR_NAZEV,DELKA VZDELAVANI,DRUH VZDELAVANI,FORMA VZDELAVANI,1. ROCNIK,2. ROCNIK,3. ROCNIK,4. ROCNIK,5. ROCNIK,6. ROCNIK,7. ROCNIK,8. ROCNIK,ZACI_CELKEM
  8241M16 ,Kamenosochařství,40,41,10,10,7,5,8,0,0,0,0,30
  8242M01 ,Konzervátorství a restaurátorství,40,41,10,10,7,8,2,0,0,0,0,27
  8251H01 ,"Umělecký kovář a zámečník, pasíř",30,21,10,17,16,20,0,0,0,0,0,53
  8251H02 ,Umělecký truhlář a řezbář,30,21,10,1,0,0,0,0,0,0,0,1
  8251H04 ,Umělecký keramik,30,21,10,7,6,4,0,0,0,0,0,17
  8251L02 ,Uměleckořemeslné zpracování dřeva,40,41,10,19,17,15,18,0,0,0,0,69
  8251L06 ,Uměleckořemeslná stavba hudebních nástrojů,40,41,10,11,13,8,7,0,0,0,0,39
  2142M01 ,Geotechnika,50,41,22,0,0,0,15,0,0,0,0,15
  2343L51 ,Provozní technika,30,43,22,9,6,0,0,0,0,0,0,15
  2641L52 ,Provozní elektrotechnika,30,43,22,14,8,0,0,0,0,0,0,22
  2651H01 ,Elektrikář,30,21,22,0,41,25,0,0,0,0,0,66
  4146M01 ,Lesnictví,50,41,22,0,0,0,8,0,0,0,0,8
  5341M01 ,Zdravotnický asistent,50,41,22,0,0,0,13,0,0,0,0,13
  5341M03 ,Praktická sestra,30,42,22,16,21,0,0,0,0,0,0,37
  6441L51 ,Podnikání,30,43,22,25,16,26,0,0,0,0,0,67
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Vysvětlivky:,10,délka vzdělávání 1 rok,,,,,,,,,,
,,20,délka vzdělávání 2 roky,,,,,,,,,,
,,30,délka vzdělávání 3 roky,,,,,,,,,,
,,40,délka vzdělávání 4 roky,,,,,,,,,,
,,50,délka vzdělávání 5 let,,,,,,,,,,
,,60,délka vzdělávání 6 let,,,,,,,,,,
,,80,délka vzdělávání 8 let,,,,,,,,,,
,,,,,,,,,,,,,
,,,10,střední vzdělávání (bez maturity i bez výučního listu),,,,,,,,,
,,,21,střední vzdělávání s výučním listem,,,,,,,,,
,,,22,zkrácené studium k získání středního vzdělání s výučním listem,,,,,,,,,
,,,41,střední vzdělávání s maturitní zkouškou,,,,,,,,,
,,,42,zkrácené studium k získání středního vzdělání s maturitní zkouškou,,,,,,,,,
,,,43,nástavbové studium (pro absolventy středního vzdělání s výučním listem v příbuzném oboru vzdělání),,,,,,,,,
,,,,,,,,,,,,,
,,,,10,denní forma vzdělávání,,,,,,,,
,,,,22,dálková forma vzdělávání,,,,,,,,
