JC,572837,Dobrá Voda u Hořic,576,"41,7",1%,191,3,523,10%,216,3,"1,6",163,2,64,111,327,4,12 445 Kč,15 570 Kč,8 968 457 Kč,195,3,13,"0,02256944444",317,4,"1,766666667",113,2,217,"3,00",PRŮMĚRNÉ,,,
RK,576263,Dobré,873,"40,6",4%,110,2,779,12%,196,3,"0,7",55,1,113,129,216,3,13 313 Kč,16 536 Kč,14 435 770 Kč,121,2,30,"0,03436426117",195,3,"1,866666667",125,2,145,"2,29",VELMI SILNÉ,,,
RK,576271,Dobruška,6 727,"43,7",-4%,346,4,6893,-2%,332,4,"1,3",126,2,756,112,322,4,15 824 Kč,17 942 Kč,120 698 537 Kč,61,1,112,"0,01664932362",367,5,"1,2",27,1,226,"3,00",PRŮMĚRNÉ,,,
RK,576280,Dobřany,132,"42,3",-1%,239,3,130,2%,290,4,"1,2",114,2,24,182,30,1,11 841 Kč,14 277 Kč,1 884 604 Kč,331,4,6,"0,04545454545",126,2,"2,6",223,3,193,"2,71",SILNÉ,,,
HK,569968,Dobřenice,574,"41,8",1%,197,3,581,-1%,320,4,"3,4",376,5,83,145,125,2,12 999 Kč,15 548 Kč,8 924 534 Kč,196,3,18,"0,03135888502",224,3,"1,566666667",81,1,217,"3,00",PRŮMĚRNÉ,,,
HK,569976,Dohalice,472,"39,6",6%,45,1,379,25%,97,2,"3,9",398,5,49,104,366,5,10 179 Kč,14 761 Kč,6 967 044 Kč,287,4,9,"0,01906779661",346,4,"2,766666667",248,3,255,"3,43",SLABÉ,,,
NA,574015,Dolany,659,"42,5",-1%,251,3,650,1%,293,4,"1,7",173,2,93,141,142,2,14 004 Kč,16 309 Kč,10 747 538 Kč,135,2,24,"0,03641881639",184,3,"2,466666667",211,3,198,"2,71",SILNÉ,,,
TU,579122,Dolní Branná,981,"42,7",-1%,272,4,852,15%,170,2,"1,7",178,2,148,151,97,2,16 265 Kč,23 270 Kč,22 827 822 Kč,15,1,40,"0,04077471967",152,2,"1,8",116,2,143,"2,14",VELMI SILNÉ,,,
TU,554863,Dolní Brusnice,388,"40,1",5%,77,1,326,19%,138,2,"1,2",107,2,51,131,203,3,10 719 Kč,13 116 Kč,5 089 075 Kč,413,5,17,"0,04381443299",135,2,"3,1",294,4,195,"2,71",SILNÉ,,,
TU,579149,Dolní Dvůr,268,"40,9",3%,133,2,244,10%,219,3,"1,1",91,2,49,183,28,1,13 311 Kč,18 349 Kč,4 917 660 Kč,49,1,11,"0,04104477612",149,2,"2,8",252,3,132,"2,00",VELMI SILNÉ,,,
TU,579157,Dolní Kalná,692,"41,4",2%,163,2,589,17%,152,2,"0,2",35,1,88,127,226,3,14 063 Kč,14 208 Kč,9 831 920 Kč,334,4,23,"0,03323699422",205,3,2,147,2,180,"2,43",SILNÉ,,,
TU,579165,Dolní Lánov,780,"40,3",4%,91,2,634,23%,110,2,"1,4",137,2,102,131,208,3,12 455 Kč,14 537 Kč,11 339 000 Kč,314,4,36,"0,04615384615",124,2,"2,6",223,3,172,"2,57",VELMI SILNÉ,,,
JC,549088,Dolní Lochov,43,"40,5",4%,97,2,46,-7%,374,5,"3,2",363,5,6,140,155,2,11 996 Kč,20 455 Kč,879 576 Kč,25,1,1,"0,02325581395",310,4,"4,066666667",420,5,249,"3,43",SLABÉ,,,
TU,579173,Dolní Olešnice,373,"41,6",1%,182,3,304,23%,112,2,"2,5",292,4,43,115,294,4,14 378 Kč,16 581 Kč,6 184 593 Kč,119,2,5,"0,01340482574",393,5,"2,4",207,3,228,"3,29",PRŮMĚRNÉ,,,
HK,569984,Dolní Přím,688,"42,3",-1%,237,3,503,37%,47,1,"1,4",135,2,104,151,95,2,12 642 Kč,14 537 Kč,10 001 800 Kč,313,4,59,"0,08575581395",25,1,"1,4",58,1,130,"2,00",VELMI SILNÉ,,,
NA,574023,Dolní Radechová,768,"43,6",-4%,337,4,659,17%,160,2,"2,6",302,4,135,176,38,1,10 610 Kč,12 767 Kč,9 804 939 Kč,428,5,28,"0,03645833333",183,3,"1,6",86,1,219,"2,86",PRŮMĚRNÉ,,,
TU,579181,Doubravice,379,"45,0",-7%,409,5,383,-1%,319,4,"1,7",179,2,51,135,179,2,11 878 Kč,13 455 Kč,5 099 462 Kč,395,5,4,"0,01055408971",409,5,"3,6",378,4,324,"3,86",VELMI SLABÉ,,,
RK,576301,Doudleby nad Orlicí,1 791,"43,9",-4%,359,4,1887,-5%,360,5,"1,4",132,2,166,93,404,5,12 218 Kč,15 239 Kč,27 293 337 Kč,225,3,32,"0,01786711334",353,4,"1,5",75,1,273,"3,43",VELMI SLABÉ,,,
JC,573337,Dřevěnice,247,"43,8",-4%,354,4,218,13%,181,3,"0,0",1,1,33,134,186,3,14 110 Kč,15 475 Kč,3 822 414 Kč,201,3,19,"0,07692307692",46,1,"3,4",349,4,188,"2,71",SILNÉ,,,
TU,579190,Dubenec,650,"42,6",-1%,267,3,593,10%,221,3,"2,4",287,4,70,108,350,4,14 609 Kč,18 915 Kč,12 294 461 Kč,40,1,4,"0,006153846154",426,5,"1,233333333",38,1,233,"3,00",PRŮMĚRNÉ,,,
TU,579203,Dvůr Králové nad Labem,15 594,"44,6",-6%,390,5,16976,-8%,392,5,"2,8",328,4,1932,124,248,3,13 345 Kč,15 487 Kč,241 505 239 Kč,199,3,237,"0,01519815314",381,5,1,1,1,277,"3,71",VELMI SLABÉ,,,
HK,569992,Habřina,298,"42,0",0%,216,3,219,36%,49,1,"4,1",404,5,42,141,145,2,12 350 Kč,15 195 Kč,4 527 979 Kč,231,3,12,"0,04026845638",157,2,"3,233333333",324,4,218,"2,86",PRŮMĚRNÉ,,,
TU,579211,Hajnice,1 033,"40,4",4%,92,2,816,27%,82,1,"1,8",200,3,123,119,276,4,13 203 Kč,16 229 Kč,16 764 457 Kč,143,2,35,"0,03388189739",200,3,"2,066666667",157,2,164,"2,43",VELMI SILNÉ,,,
TU,579220,Havlovice,991,"41,3",2%,160,2,790,25%,92,2,"2,4",282,4,120,121,262,3,10 675 Kč,13 846 Kč,13 721 681 Kč,369,5,41,"0,04137235116",148,2,"2,666666667",234,3,221,"3,00",PRŮMĚRNÉ,,,
NA,574031,Hejtmánkovice,607,"44,6",-6%,393,5,564,8%,234,3,"3,4",380,5,75,124,250,3,14 692 Kč,15 045 Kč,9 132 253 Kč,249,3,13,"0,02141680395",324,4,"3,4",349,4,311,"3,86",VELMI SLABÉ,,,
NA,574040,Heřmanice,438,"40,7",3%,113,2,395,11%,206,3,"3,4",379,5,53,121,263,3,12 666 Kč,15 145 Kč,6 633 554 Kč,239,3,6,"0,01369863014",389,5,"2,266666667",191,3,254,"3,43",SLABÉ,,,
NA,574058,Heřmánkovice,495,"42,2",0%,227,3,467,6%,246,3,"4,4",418,5,53,107,354,4,14 402 Kč,15 917 Kč,7 878 969 Kč,165,2,5,"0,0101010101",411,5,"2,8",252,3,296,"3,57",VELMI SLABÉ,,,
HK,570001,Hlušice,740,"42,2",0%,230,3,705,5%,256,3,"2,3",276,4,88,119,278,4,14 210 Kč,18 102 Kč,13 395 444 Kč,58,1,17,"0,02297297297",314,4,"1,4",58,1,210,"2,86",PRŮMĚRNÉ,,,
HK,570010,Hněvčeves,163,"42,5",-1%,256,3,174,-6%,371,5,"0,9",73,1,23,141,143,2,15 963 Kč,14 874 Kč,2 424 414 Kč,271,4,3,"0,01840490798",350,4,"2,533333333",217,3,240,"3,14",SLABÉ,,,
