Zřizovatel,Red IZO:,IČO:,Název organizace,Místo:,Ulice:,Č.p.:,Č.o.:,Městská část:,    IZO:,"Druh školy, školského zařízení:",Místo školy-zařízení:,Ulice školy-zařízení:,Č.p. školy-zařízení:,Č.o. školy-zařízení:,Městská část školy-zařízení:
5,650059964,75015820,"Základní škola Sion J. A. Komenského, Hradec Králové",Hradec Králové,Na Kotli,1201,27,,    168100614,Školní jídelna - výdejna,Hradec Králové,Mandysova,1434,1,Nový Hradec Králové
5,651014271,27121313,"Bezpečnostně právní akademie, s.r.o., střední škola",Malé Svatoňovice,17. listopadu,177,,Malé Svatoňovice,    151014507,Střední škola,Malé Svatoňovice,17. listopadu,177,,Malé Svatoňovice
5,651014271,27121313,"Bezpečnostně právní akademie, s.r.o., střední škola",Malé Svatoňovice,17. listopadu,177,,Malé Svatoňovice,    168102447,Domov mládeže,Malé Svatoňovice,17. listopadu,177,,Malé Svatoňovice
5,651014271,27121313,"Bezpečnostně právní akademie, s.r.o., střední škola",Malé Svatoňovice,17. listopadu,177,,Malé Svatoňovice,    168102455,Školní jídelna,Malé Svatoňovice,17. listopadu,209,,Malé Svatoňovice
5,651014646,27482073,"TRIVIS - Střední škola veřejnoprávní Třebechovice pod Orebem, s.r.o.",Třebechovice pod Orebem,Heldovo náměstí,231,,Třebechovice pod Orebem,    151014655,Střední škola,Třebechovice pod Orebem,Heldovo náměstí,231,,Třebechovice pod Orebem
5,651014646,27482073,"TRIVIS - Střední škola veřejnoprávní Třebechovice pod Orebem, s.r.o.",Třebechovice pod Orebem,Heldovo náměstí,231,,Třebechovice pod Orebem,    181001489,Školní jídelna,Třebechovice pod Orebem,Heldovo náměstí,231,,Třebechovice pod Orebem
5,651017459,71340726,"Střední škola - Podorlické vzdělávací centrum, Dobruška",Dobruška,Pulická,695,,Dobruška,    151017891,Střední škola,Dobruška,Pulická,695,,Dobruška
5,651017459,71340726,"Střední škola - Podorlické vzdělávací centrum, Dobruška",Dobruška,Pulická,695,,Dobruška,    168102196,Domov mládeže,Dobruška,Pulická,695,,Dobruška
5,651018463,71340718,"BONI PUERI - základní umělecká škola, Hradec Králové",Hradec Králové,Československé armády,332,39,Hradec Králové,    151018472,Základní umělecká škola,Hradec Králové,Československé armády,332,39,Hradec Králové
5,668100915,75051591,"Mateřská škola Sion, Hradec Králové",Hradec Králové,Na Kotli,1201,27,Hradec Králové,    168100924,Mateřská škola,Hradec Králové,Na Kotli,1201,27,Hradec Králové
