IZO,RED_MÍSTO,REDIZO,OBOR,OBOR_NAZ,FORMA
    000087998,Hořice,600024113,75-41-E/01,Pečovatelské služby,denní
    000087998,Hořice,600024113,78-62-C/02,Praktická škola dvouletá,denní
    181093626,Broumov,600024121,78-62-C/01,Praktická škola jednoletá,denní
    181093626,Broumov,600024121,78-62-C/02,Praktická škola dvouletá,denní
    181064197,Jaroměř,600024164,78-62-C/01,Praktická škola jednoletá,denní
    102730148,Nové Město nad Metují,600024211,18-20-M/01,Informační technologie,denní
    102730148,Nové Město nad Metují,600024211,23-41-M/01,Strojírenství,denní
    102730148,Nové Město nad Metují,600024211,23-44-L/01,Mechanik strojů a zařízení,denní
    102730148,Nové Město nad Metují,600024211,23-45-L/01,Mechanik seřizovač,denní
    102730148,Nové Město nad Metují,600024211,23-51-E/01,Strojírenské práce,denní
    102730148,Nové Město nad Metují,600024211,23-51-H/01,Strojní mechanik,denní
    102730148,Nové Město nad Metují,600024211,23-55-H/02,Karosář,denní
    102730148,Nové Město nad Metují,600024211,23-56-H/01,Obráběč kovů,denní
    102730148,Nové Město nad Metují,600024211,29-51-E/01,Potravinářská výroba,denní
    102730148,Nové Město nad Metují,600024211,29-51-E/02,Potravinářské práce,denní
    102730148,Nové Město nad Metují,600024211,31-59-E/02,Šití prádla,denní
    102730148,Nové Město nad Metují,600024211,33-57-E/01,Dřevařská výroba,denní
    102730148,Nové Město nad Metují,600024211,36-67-E/02,Stavební práce,denní
    102730148,Nové Město nad Metují,600024211,41-51-E/01,Zemědělské práce,denní
    102730148,Nové Město nad Metují,600024211,41-52-E/01,Zahradnické práce,denní
    102730148,Nové Město nad Metují,600024211,41-55-E/01,Opravářské práce,denní
    102730148,Nové Město nad Metují,600024211,65-51-E/01,Stravovací a ubytovací služby,denní
    102730148,Nové Město nad Metují,600024211,66-51-E/01,Prodavačské práce,denní
    102730148,Nové Město nad Metují,600024211,69-51-H/01,Kadeřník,denní
    102730148,Nové Město nad Metují,600024211,69-54-E/01,Provozní služby,denní
    102730148,Nové Město nad Metují,600024211,75-41-E/01,Pečovatelské služby,denní
    102730148,Nové Město nad Metují,600024211,78-62-C/02,Praktická škola dvouletá,denní
    181083787,Náchod,600024245,78-62-C/01,Praktická škola jednoletá,denní
    181083787,Náchod,600024245,78-62-C/02,Praktická škola dvouletá,denní
    181007304,Rychnov nad Kněžnou,600024300,78-62-C/01,Praktická škola jednoletá,denní
    181007304,Rychnov nad Kněžnou,600024300,78-62-C/02,Praktická škola dvouletá,denní
    181031574,Trutnov,600024610,78-62-C/01,Praktická škola jednoletá,denní
    181031574,Trutnov,600024610,78-62-C/02,Praktická škola dvouletá,denní
    060154021,Hostinné,600024679,33-56-E/01,Truhlářská a čalounická výroba,denní
    060154021,Hostinné,600024679,33-57-E/01,Dřevařská výroba,denní
    060154021,Hostinné,600024679,34-57-E/01,Knihařské práce,denní
    060154021,Hostinné,600024679,36-67-E/01,Zednické práce,denní
    060154021,Hostinné,600024679,65-51-E/01,Stravovací a ubytovací služby,denní
    060154021,Hostinné,600024679,69-54-E/01,Provozní služby,denní
    060154021,Hostinné,600024679,78-62-C/01,Praktická škola jednoletá,denní
    108026761,Dvůr Králové nad Labem,600024695,78-62-C/02,Praktická škola dvouletá,denní
    000175790,Hradec Králové,600170764,23-45-M/01,Dopravní prostředky,denní
    000175790,Hradec Králové,600170764,23-55-H/01,Klempíř,denní
    000175790,Hradec Králové,600170764,23-55-H/02,Karosář,denní
    000175790,Hradec Králové,600170764,23-61-H/01,Autolakýrník,denní
    000175790,Hradec Králové,600170764,23-68-H/01,Mechanik opravář motorových vozidel,denní
    000175790,Hradec Králové,600170764,26-57-H/01,Autoelektrikář,denní
    000175790,Hradec Králové,600170764,36-44-L/51,Stavební provoz,denní
    000175790,Hradec Králové,600170764,36-52-H/01,Instalatér,denní
    000175790,Hradec Králové,600170764,36-64-H/01,Tesař,denní
    000175790,Hradec Králové,600170764,36-66-H/01,Montér suchých staveb,denní
    000175790,Hradec Králové,600170764,36-67-H/01,Zedník,denní
    000175790,Hradec Králové,600170764,37-41-M/01,Provoz a ekonomika dopravy,denní
    000175790,Hradec Králové,600170764,39-41-H/01,Malíř a lakýrník,denní
    000175790,Hradec Králové,600170764,39-41-L/01,Autotronik,denní
    000175790,Hradec Králové,600170764,39-41-L/02,Mechanik instalatérských a elektrotechnických zařízení,denní
    000175790,Hradec Králové,600170764,39-41-L/51,Autotronik,denní
    130001732,Nová Paka,600170802,29-51-H/01,Výrobce potravin,denní
    130001732,Nová Paka,600170802,29-53-H/01,Pekař,denní
    130001732,Nová Paka,600170802,29-54-H/01,Cukrář,denní
    130001732,Nová Paka,600170802,31-58-H/01,Krejčí,denní
    130001732,Nová Paka,600170802,33-56-H/01,Truhlář,denní
